,HOME_SEASON_ID,HOME_TEAM_ID,HOME_TEAM_ABBREVIATION,HOME_TEAM_NAME,HOME_GAME_ID,HOME_GAME_DATE,HOME_MATCHUP,HOME_WL,HOME_MIN,HOME_PTS,HOME_FGM,HOME_FGA,HOME_FG_PCT,HOME_FG3M,HOME_FG3A,HOME_FG3_PCT,HOME_FTM,HOME_FTA,HOME_FT_PCT,HOME_OREB,HOME_DREB,HOME_REB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,HOME_PLUS_MINUS,AWAY_SEASON_ID,AWAY_TEAM_ID,AWAY_TEAM_ABBREVIATION,AWAY_TEAM_NAME,AWAY_GAME_ID,AWAY_GAME_DATE,AWAY_MATCHUP,AWAY_WL,AWAY_MIN,AWAY_PTS,AWAY_FGM,AWAY_FGA,AWAY_FG_PCT,AWAY_FG3M,AWAY_FG3A,AWAY_FG3_PCT,AWAY_FTM,AWAY_FTA,AWAY_FT_PCT,AWAY_OREB,AWAY_DREB,AWAY_REB,AWAY_AST,AWAY_STL,AWAY_BLK,AWAY_TOV,AWAY_PF,AWAY_PLUS_MINUS,ATTENDANCE
11,22022,1610612749,MIL,Milwaukee Bucks,0022200369,2022-12-07,MIL vs. SAC,1,240,126,46,96,0.479,14,33,0.424,20,24,0.833,17,33,50,34,3,2,7,15,13.0,22022,1610612758,SAC,Sacramento Kings,0022200369,2022-12-07,SAC @ MIL,0,239,113,43,91,0.473,12,38,0.316,15,16,0.938,8,32,40,19,2,4,8,17,-13.0,17341.0
12,22022,1610612750,MIN,Minnesota Timberwolves,0022200370,2022-12-07,MIN vs. IND,1,240,121,44,93,0.473,8,23,0.348,25,27,0.926,16,35,51,25,15,2,21,21,6.0,22022,1610612754,IND,Indiana Pacers,0022200370,2022-12-07,IND @ MIN,0,240,115,39,81,0.481,19,42,0.452,18,24,0.75,4,27,31,22,10,4,19,17,-6.0,15472.0
13,22022,1610612761,TOR,Toronto Raptors,0022200366,2022-12-07,TOR vs. LAL,1,239,126,47,106,0.443,12,43,0.279,20,24,0.833,17,37,54,25,10,5,11,22,13.0,22022,1610612747,LAL,Los Angeles Lakers,0022200366,2022-12-07,LAL @ TOR,0,240,113,37,87,0.425,7,33,0.212,32,35,0.914,10,36,46,16,6,3,15,17,-13.0,19800.0
14,22022,1610612753,ORL,Orlando Magic,0022200363,2022-12-07,ORL vs. LAC,1,265,116,40,95,0.421,8,28,0.286,28,31,0.903,16,37,53,20,8,5,12,21,5.0,22022,1610612746,LAC,LA Clippers,0022200363,2022-12-07,LAC @ ORL,0,265,111,39,95,0.411,15,41,0.366,18,26,0.692,17,36,53,26,3,9,15,19,-5.0,
15,22022,1610612756,PHX,Phoenix Suns,0022200373,2022-12-07,PHX vs. BOS,0,240,98,37,93,0.398,8,32,0.25,16,19,0.842,13,36,49,19,5,4,18,17,-27.0,22022,1610612738,BOS,Boston Celtics,0022200373,2022-12-07,BOS @ PHX,1,239,125,49,101,0.485,16,45,0.356,11,13,0.846,11,42,53,29,14,3,12,20,27.0,17071.0
16,22022,1610612751,BKN,Brooklyn Nets,0022200364,2022-12-07,BKN vs. CHA,1,239,122,49,86,0.57,12,31,0.387,12,16,0.75,5,34,39,33,3,8,10,20,6.0,22022,1610612766,CHA,Charlotte Hornets,0022200364,2022-12-07,CHA @ BKN,0,240,116,47,88,0.534,10,24,0.417,12,23,0.522,10,30,40,25,4,3,11,18,-6.0,16903.0
17,22022,1610612741,CHI,Chicago Bulls,0022200367,2022-12-07,CHI vs. WAS,1,239,115,45,90,0.5,10,23,0.435,15,17,0.882,6,35,41,29,11,4,19,20,4.0,22022,1610612764,WAS,Washington Wizards,0022200367,2022-12-07,WAS @ CHI,0,241,111,41,84,0.488,9,31,0.29,20,29,0.69,6,32,38,22,12,6,18,16,-4.0,19265.0
18,22022,1610612740,NOP,New Orleans Pelicans,0022200371,2022-12-07,NOP vs. DET,1,240,104,39,85,0.459,8,27,0.296,18,23,0.783,10,40,50,21,8,9,18,21,6.0,22022,1610612765,DET,Detroit Pistons,0022200371,2022-12-07,DET @ NOP,0,242,98,35,90,0.389,15,42,0.357,13,16,0.813,8,34,42,17,5,1,12,23,-6.0,14073.0
19,22022,1610612752,NYK,New York Knicks,0022200365,2022-12-07,NYK vs. ATL,1,240,113,37,83,0.446,17,36,0.472,22,24,0.917,13,42,55,26,6,2,14,23,24.0,22022,1610612737,ATL,Atlanta Hawks,0022200365,2022-12-07,ATL @ NYK,0,241,89,32,85,0.376,6,36,0.167,19,24,0.792,11,28,39,16,4,6,11,17,-24.0,18091.0
20,22022,1610612762,UTA,Utah Jazz,0022200372,2022-12-07,UTA vs. GSW,1,240,124,46,86,0.535,15,35,0.429,17,21,0.81,9,31,40,26,6,7,17,17,1.0,22022,1610612744,GSW,Golden State Warriors,0022200372,2022-12-07,GSW @ UTA,0,241,123,45,98,0.459,14,42,0.333,19,25,0.76,14,28,42,26,8,5,14,18,-1.0,18206.0
